artist,title,description,curator,bandcamp link,soundcloud private share link
Andy Moor,Clickwrap [CAA-011],"Solo improvisation at OCCII Amsterdam. June 20, 2019. Recorded by Charis Konstantinou and Hans from Radio Patapoe. Mixed, edited, and mastered by Andy Moor, 2019. Andy Moor: Guitar.",Catalytic Sound,https://andymoorunsounds.bandcamp.com/album/clickwrap-caa-011,https://soundcloud.com/user-861231864/sets/clickwrap-caa-011/s-g6PjaY0OvC3
Nate Wooley,After Gaburo [CAA-012],"Recorded during a residency at the Experimental Media and Performing Arts Center (EMPAC) in Renselaer NY, January of 2016. Nate Wooley: Trumpet.",Catalytic Sound,https://natewooleypleasureofthetextsoundamerican.bandcamp.com/album/after-gaburo-caa-012,https://soundcloud.com/user-861231864/sets/nate-wooley-after-gaburo-caa-012/s-AXnGeZpYVSC
Ben Hall / Joe Morris / Ken Vandermark,Dimensional Stack Up [CAA-013],"All music recorded live in concert on August 13, 2019, by Dave Zuchowski at Elastic Arts, Chicago. Mixed and mastered by Dave Zuchowski, One Room Studio. Ben Hall: drums. Joe Morris: guitar. Ken Vandermark: reeds.",Catalytic Sound,https://vandermark1.bandcamp.com/album/dimensional-stack-up,https://soundcloud.com/user-861231864/sets/dimensional-stack-up/s-3RCS1B7azcZ
VWCR,Moulin Vert Improvisations [CAA-014],"Recorded in concert on August 4, 2018 by Dave Zuchowski at the Green Mill in Chicago. Mixed and mastered by Dave Zuchowski, One Room Studio. Sylvie Courvoisier: piano. Tom Rainey: drums. Ken Vandermark: reeds. Nate Wooley: trumpet.",Catalytic Sound,https://vandermark1.bandcamp.com/album/moulin-vert-improvisations,https://soundcloud.com/user-861231864/sets/moulin-vert-improvisations-caa-014/s-RJmr1539rHP
Ben Hall / Wally Shoup,Belgium 2008 [CAA-015],"Recorded in Hasselt, Belgium at Interact 2008, which was organized by Koen Vandenhout. Wally Shoup: alto saxophone. Ben Hall: trap set.",Catalytic Sound,https://benhall1.bandcamp.com/album/belgium-2008-caa-015,https://soundcloud.com/user-861231864/belgium-2008-caa-015/s-tFNtMfyhUtd
Dave Rempis,Scratch and Sniff [CAA-016],"Recorded live at May Chapel, Chicago, December 17, 2017. Recorded, mixed and mastered by Dave Zuchowski. Dave Rempis: alto/tenor/baritone saxophone.",Catalytic Sound,https://daverempiscatalyticsound.bandcamp.com/album/scratch-and-sniff,https://soundcloud.com/user-861231864/sets/dave-rempis-scratch-and-sniff-caa-016/s-hvcqeyg5WkP
Jeb Bishop / Nate McBride / Tim Daisy,Alive at the Hideout [CAA-017],"Recorded live at the Hideout, Chicago on April 9, 2011. Mastered by Dave Zuchowski at One Room Studio. Jeb Bishop: trombone and electronics. Nate McBride: electric bass. Tim Daisy: drums.",Catalytic Sound,https://timdaisyrelayrecordings.bandcamp.com/album/alive-at-the-hideout,https://soundcloud.com/user-861231864/sets/alive-at-the-hideout-caa-017/s-YbxAKW9GPfS
Joe Morris / Mike Pride / Chris Pitsiokos,Field of Materials [CAA-018],"Joe Morris: guitar. Mike Pride: marimba and percussion. Chris Pitsiokos: alto saxophone. Recorded at riti studios, Guilford, CT. Engineered by Joe Morris. Mixed and mastered by Mike Pride",Catalytic Sound,https://joemorrisritiglacialeratic.bandcamp.com/album/field-of-materials-caa-018,https://soundcloud.com/user-861231864/sets/morris-pride-pitsiokos-field-of-materials-caa-018/s-fkwGr9nRZk3
Mats Gustafsson,Padova Solo [CAA-019],"Recorded Sept 16, 2016 by Jose Dicati / JD Service at Sala dei Giganti at Palazzo Liviano, Padova. Concert and recording produced by Nicola Negri, Stefano Merighi and Veniero Rizzardi at Centro d’Arte Padova. Edited and mastered March 2020 by Kjetil Møster, Le Migoteque. Mats Gustafsson: piano mate, piano, slide saxophone, baritone saxophone, bass saxophones.",Catalytic Sound,https://gustafsson1.bandcamp.com/album/padova-solo,https://soundcloud.com/user-861231864/sets/padova-solo-caa-019/s-kfRclQNXgc0
Ig Henneman Sextet & Guus Janssen,FERVID [CAA-020],"Live concert at The Philharmonie Haarlem (NL) December 12, 2010. Recorded by Micha de Kanter/Mideka Music Recording. Mixing & editing Micha de Kanter/Ig Henneman. Ig Henneman - vla/ compositions. Ab Baars - ts/cl. Axel Dörner - trp. Lori Freedman - bcl/cl. Wilbert de Joode - cb. Marilyn Lerner - pno. Guus Janssen - organ.",Catalytic Sound,https://abbaarsighennemanwig.bandcamp.com/album/fervid,https://soundcloud.com/user-861231864/sets/fervid-caa-020/s-ygi2A3MJoCA
Elisabeth Harnik & Paal Nilssen-Love,Tangram [CAA-021],Recorded live in concert at the Sugar Maple in Milwaukee during the 2014 edition of Okkafest. Elisabeth Harnik: piano. Paal Nilssen-Love: drums.,Catalytic Sound,https://elisabethharnik.bandcamp.com/album/tangram,https://soundcloud.com/user-861231864/sets/tangram-caa-021/s-4o2geGWE6O8
Mat Maneri / Kalle Moberg / Ingebrigt Håker Flaten,Headspin [CAA-022],"Recorded and mixed by Max Lorenzen at Ana Lark Center in Austin during the 17th annual No Idea festival, February 21st 2020. Mat Maneri: viola. Kalle Moberg: accordion. Ingebrigt Håker Flaten: bass.",Catalytic Sound,https://ingebrigthkerflaten.bandcamp.com/album/headspin,https://soundcloud.com/user-861231864/headspin/s-gpGeRdRcMGI
Ikue Mori,House of Vines [CAA-023],"The official versions of tracks 2, 4, and 6 are videos created by Ikue, and come bundled with the album download (stay tuned for public release). Ikue Mori: laptop.",Catalytic Sound,https://ikuemori.bandcamp.com/album/house-of-vines,https://soundcloud.com/user-861231864/sets/ikue-mori-house-of-vines-caa-023/s-gWqiLxo2vY5
Brandon Lopez,Santeria [CAA-024],Recorded 2020. Brandon Lopez: bass.,Catalytic Sound,https://brandonlopez.bandcamp.com/album/santeria,https://soundcloud.com/user-861231864/sets/brandon-lopez-santeria-caa-024/s-ZUN4aAQw5vr
Fred Lonberg-Holm / Farida Amadou / Simon Camatta,Indelible Spine [CAA-025],"Recorded at Namouche Studios, Lisbon, PT by Joaquim Montes on November 9, 2019. Mixed and Mastered by Gordon Comstock. Fred Lonberg-Holm: cello/electronics. Farida Amadou: bass/electronics. Simon Camatta: drums.",Catalytic Sound,https://fredlonbergholm.bandcamp.com/album/indelible-spine,https://soundcloud.com/user-861231864/sets/fred-lonberg-holm-farida-amadou-simon-camatta-indelible-spine-caa-025/s-EOl8AkcceMg
Chris Corsano,Mezzaluna [CAA-026],"Recorded in October 2020. Solos for drum set, mezzaluna knife (tracks 1, 5, & 6), microphone + amplifier (tracks 1, 5, & 6), slide clarinet/drum-head set-up (track 6), and assorted metal & wood.",Catalytic Sound,https://chriscorsano1.bandcamp.com/album/mezzaluna,https://soundcloud.com/user-861231864/sets/chris-corsano-mezzaluna-caa-026/s-gYeuNC1u1zX
Andy Moor & Tommaso Rolando,Sessione Pre Angiou [CAA-027],"Recorded by Tommaso Rolando Live at Cascina Pre Angiou, Savignone, Liguria, Italy on Feb 22, 2020. Mixed and Mastered in Amsterdam by Andy Moor. Photos by Federico Tixi. Contrabasso - Tommaso Rolando. Guitar - Andy Moor.",Catalytic Sound,https://andymoorunsounds.bandcamp.com/album/sessione-pre-angiou,https://soundcloud.com/user-861231864/sets/andy-moor-tommaso-rolando-sessione-pre-angiou-caa-027/s-iOB0lN4dKdl
claire rousay,loose ends [CAA​-​028],Music by claire rousay. Mastered by Andrew Weathers.,Catalytic Sound,https://clairerousay1.bandcamp.com/album/loose-ends,https://soundcloud.com/user-861231864/sets/claire-rousay-loose-ends-caa-028/s-2xrgFjWdQhy
Elisabeth Harnik & Christof Kurzmann,Prozession [CAA-029],"Elisabeth Harnik, piano. Christof Kurzmann, lloopp. Recorded live in concert at Echoraum (Vienna/Austria), October 2nd 2020. Recorded by Johann Lapitz, mastered by Christof Kurzmann. Photo by Doris Bauer. Design by Fede Peñalva. Thanks to Sara Zlanabitnig and Werner Korn.",Catalytic Sound,https://elisabethharnik.bandcamp.com/album/prozession,https://soundcloud.com/user-861231864/sets/elisabeth-harnik-christof-kurzmann-prozession-caa-029/s-883x40ZrKJv
Jaap Blonk,Ingletwist Fragments [CAA-030],"""Just like I have a parallel language to that of the Netherlands, the so-called 'Onderlands', I have one for English: 'Ingletwist'. It's a nonsense language, it has no meaning, just associations here and there. For each of the 9 tracks of this album I made a text in the following manner. I did a gibberish improvisation, focusing on the 3 sounds that are in the title of the track: one vowel or diphtong and two consonants sounds. For instance, for ""Ahtsh"" it was 'ah', 't' and 'sh', and 'i', 'ng' and 'z' became ""Eyengz"". While doing this, I fed my efforts into the dictation facility of my computer, and watched with glee how it desperately worked on making English words out of them. I saved the texts I got in this way, and then mildly scrambled them into Ingletwist. These results were used for the vocals I recorded, treated in a very loose way, allowing myself room for improvisation again. I also recorded the texts as spoken by different computer voices, and in each track one of them makes a short appearance. For the electronics I used analog equipment exclusively. There's a warmth and imperfection there that I like very much, and often I hear voices in these sounds where there's actually nothing vocal at all."" - Jaap Blonk.",Catalytic Sound,https://jaapblonkkontrans.bandcamp.com/album/ingletwist-fragments,https://soundcloud.com/user-861231864/sets/jaap-blonk-ingletwist-fragments-caa-030/s-O9OWWQ3Al94
The Rempis/Rosaly Duo,The Strobe Sessions [CAA​-​031],"Dave Rempis – alto/tenor/baritone saxophone. Frank Rosaly - drums. Recorded January 23rd, 2012 at Strobe Studios in Chicago. Recorded and mixed by Nick Broste.",Catalytic Sound,https://daverempiscatalyticsound.bandcamp.com/album/the-strobe-sessions,https://soundcloud.com/user-861231864/sets/the-rempis-rosaly-duo-the-strobe-sessions-caa-031
Mark Cisneros / Nik Francis / Luke Stewart,We Were Here Before [CAA​-​032],"This extended work consists of both composition and group improvisation. It is a collection of themes attempting to express deeply rooted feelings about the now and what has been. A collective memory of sorts. Or perhaps a kind of collective consciousness or genetic memory. This recording is an expression of this. Memories, reflections, and meditations on our ancestral experience of being people of color in this country. This music is offered in the name of unity, identity, hope, and oneness. Mark Cisneros - Reeds, Percussion. Luke Stewart - Bass. Nik Francis - Drums. Recorded at the Neptune Room in Washington, DC on October 28, 2020.",Catalytic Sound,https://lukestewart1.bandcamp.com/album/we-were-here-before-caa-032,https://soundcloud.com/user-861231864/sets/we-were-here-before-caa-032/s-NFFsHTJGOr3
Joe Morris & Joe McPhee,Era [CAA-033],"""While it is definitely a bold thing to ask Joe McPhee to record a duet with me on drums, my understanding of Joe and his unique approach to his instruments and to music in general made it a very logical decision. Joe McPhee is one of the few musicians I’ve known who is totally open to making music in any situation, with anyone. It seems to me that his main criteria is camaraderie and artistic credibility, simply put, a kind of “let’s do our best to make it sound good by working well together and helping each other” approach.. There’s never a weird burden of any specific technical demand, except maybe “please don’t box me in”. During the Saft session (which had me and Joe playing outside on an unusually warm November afternoon) Joe implied that I had done alright because I didn’t box him in. That said, I never would’ve asked him if I didn’t think I could do it.""",Catalytic Sound,https://joemorrisritiglacialeratic.bandcamp.com/album/era,https://soundcloud.com/user-861231864/sets/era-caa-033/s-tfjAzL2OSxG
Sylvie Courvoisier Ocre,Live at Jazzfestival Willisau 1997 [CAA-034],"For the 34th installment of our Catalytic Artist Albums series we present a recording from the 1997 Jazzfestival Willisau. Sylvie dug this recording up from her archive and presented it to us on DAT tape. The festival recording is now digitized and presented for the first time here. Featuring Pierre Charial, Mark Feldman, Michel Godard, Mark Nauseef, and Walter Quintus, this one will not disappoint!",Catalytic Sound,,https://soundcloud.com/user-861231864/sets/ocre-caa-034/s-zytNjDSyevA
Cinghiale,Exit... Stage Left [CAA-035],"Cinghiale, the duo of Ken Vandermark and Mars Williams. Recorded live at Rhizome in Washington D.C. on September 2nd, 2019, this document provides a look into the duo's sound and work during their 2019 tour.",Catalytic Sound,,https://soundcloud.com/user-861231864/sets/exit-stage-left/s-Peo22QvtqEl?si=89707582b3f54b92bc8f6d2ecf818ad8
Tashi Dorji,Guitar Improvisation [CAA-036],"For the 36th installment of our Catalytic Artist Albums series, we are excited to present an exclusive collection of improvisations on nylon string guitar by the exceptional, Tashi Dorji. /// Recorded over the month of August, this record showcases Dorji's most recent work and explorations on the guitar.",Catalytic Sound,,https://soundcloud.com/user-861231864/sets/guitar-improvisation/s-r3umjALAWVg?si=f6fe87cc5c09417382549730397032e4
